Seed	Demuxer	BarcodeSet	Sec
1285	fastx	10-9bp-se	18.433607578277588
3562	fastx	100-8bp-se	109.66033887863159
7051	fastx	20-9bp-se	30.012033224105835
9671	fastx	200-9bp-se	211.41656732559204
2841	fastx	200-9bp-se	212.04471611976624
1285	ar	100-8bp-pe	13.127885341644287
7837	ar	800-9bp-se	6.389529705047607
3544	ar	800-9bp-se	6.604057550430298
2841	ar	800-9bp-se	6.230517625808716
3176	ar	1024-8bp-pe	14.915070533752441
6731	ar	200-9bp-se	5.388761043548584
7460	ar	200-9bp-se	5.304013967514038
7460	ar	1024-8bp-pe	15.127504825592041
3176	ar	10-8bp-pe	23.777915239334106
7837	ar	20-9bp-se	4.750816345214844
3562	ar	1024-8bp-pe	14.960216999053955
7837	ar	200-9bp-se	5.588879108428955
3176	ar	10-9bp-se	4.3870744705200195
9671	ar	100-8bp-se	5.20674729347229
9671	ar	10000-8bp-pe	47.29987955093384
2841	ar	50-9bp-se	5.247653961181641
3544	ar	100-8bp-se	5.381638765335083
6731	ar	50-9bp-se	5.4059343338012695
1285	ar	800-9bp-se	6.418067455291748
3544	ar	400-9bp-se	6.254722595214844
1285	ar	200-9bp-se	5.719154119491577
7837	ar	400-9bp-se	5.5818798542022705
7460	ar	10-9bp-se	5.337355375289917
7837	ar	50-9bp-se	5.132142543792725
2841	ar	1024-8bp-pe	14.194603681564331
7051	ar	100-8bp-pe	14.649206161499023
3562	ar	10-9bp-se	4.479297161102295
7051	ar	100-8bp-se	5.016293048858643
7051	ar	10-9bp-se	4.396343231201172
1285	ar	1024-8bp-pe	14.57752799987793
3176	ar	100-8bp-pe	15.206820726394653
3544	ar	200-9bp-se	5.443455934524536
6731	ar	10-8bp-pe	11.902528524398804
3176	ar	200-9bp-se	5.6722190380096436
7051	ar	10-8bp-pe	12.296144962310791
2841	ar	20-9bp-se	4.674006223678589
2841	ar	100-8bp-se	5.092758655548096
3562	ar	400-9bp-se	11.853442430496216
3544	ar	20-9bp-se	4.81701135635376
1285	ar	10000-8bp-pe	48.54139518737793
3176	ar	100-8bp-se	5.332973003387451
7460	ar	400-9bp-se	6.012195110321045
3176	ar	400-9bp-se	6.070490837097168
1285	ar	10-8bp-pe	11.739097833633423
6731	ar	1024-8bp-pe	18.87043285369873
9671	ar	20-9bp-se	4.699617385864258
7460	ar	50-9bp-se	5.213209390640259
3562	ar	10-8bp-pe	11.550611734390259
9671	ar	50-9bp-se	4.769557476043701
7051	ar	50-9bp-se	5.169740676879883
2841	ar	100-8bp-pe	14.69425106048584
7837	ar	100-8bp-se	5.1068291664123535
3562	ar	50-9bp-se	5.229133367538452
2841	ar	10000-8bp-pe	58.70704889297485
7051	ar	400-9bp-se	5.587233066558838
3176	ar	20-9bp-se	4.764648914337158
1285	ar	100-8bp-se	6.38554835319519
3562	ar	200-9bp-se	5.445201873779297
7051	ar	1024-8bp-pe	13.574584722518921
3544	ar	10000-8bp-pe	49.6513831615448
3544	ar	1024-8bp-pe	15.215963363647461
3562	ar	20-9bp-se	4.707251787185669
7460	ar	800-9bp-se	6.076732397079468
3544	ar	10-9bp-se	4.404186248779297
3544	ar	50-9bp-se	5.1375508308410645
9671	ar	100-8bp-pe	20.831144332885742
3544	ar	10-8bp-pe	13.393404960632324
9671	ar	10-8bp-pe	11.768331050872803
3562	ar	10000-8bp-pe	46.88588285446167
7460	ar	100-8bp-se	5.706646919250488
7837	ar	10000-8bp-pe	48.462642669677734
7051	ar	800-9bp-se	6.019628047943115
6731	ar	10000-8bp-pe	47.63691782951355
3176	ar	800-9bp-se	6.77459192276001
6731	ar	10-9bp-se	4.3796117305755615
3176	ar	10000-8bp-pe	47.8863844871521
7051	ar	200-9bp-se	5.073946475982666
6731	ar	20-9bp-se	4.697480201721191
6731	ar	800-9bp-se	6.160249710083008
7837	ar	1024-8bp-pe	15.915184259414673
7837	ar	100-8bp-pe	13.966850757598877
3562	ar	800-9bp-se	6.989487171173096
1285	ar	20-9bp-se	4.682303428649902
2841	ar	10-8bp-pe	15.994284629821777
3176	ar	50-9bp-se	5.114822626113892
7460	ar	10-8bp-pe	12.077538967132568
9671	ar	800-9bp-se	6.110396146774292
2841	ar	10-9bp-se	4.506897926330566
1285	ar	400-9bp-se	6.986151695251465
9671	ar	10-9bp-se	4.469515800476074
9671	ar	1024-8bp-pe	13.591287612915039
7837	ar	10-9bp-se	4.474453687667847
6731	ar	100-8bp-se	5.379474401473999
7837	ar	10-8bp-pe	12.244080543518066
2841	ar	400-9bp-se	5.705509185791016
6731	ar	100-8bp-pe	12.482231378555298
1285	ar	50-9bp-se	5.437692403793335
7460	ar	100-8bp-pe	14.835365772247314
7460	ar	20-9bp-se	4.688417673110962
9671	ar	400-9bp-se	5.773677349090576
1285	ar	10-9bp-se	4.624819993972778
3562	ar	100-8bp-se	5.40695595741272
3544	ar	100-8bp-pe	14.164559125900269
7051	ar	10000-8bp-pe	51.188313007354736
7051	ar	20-9bp-se	4.758775472640991
3562	ar	100-8bp-pe	13.697027206420898
7460	ar	10000-8bp-pe	46.29677176475525
9671	ar	200-9bp-se	5.134864330291748
